"capacity_mgd","concentration_method","county_names","extraction_method","flow_rate","inhibition_adjust","inhibition_detect","inhibition_method","institution_type","lab_id","lod_ref","lod_sewage","ntc_amplify","num_no_target_control","other_jurisdiction","pcr_target","pcr_target_ref","pcr_type","population_served","quant_stan_type","rec_eff_percent","rec_eff_spike_conc","rec_eff_spike_matrix","rec_eff_target_name","reporting_jurisdiction","sample_collect_date","sample_collect_time","sample_id","sample_location","sample_location_specify","sample_matrix","sample_type","sars_cov2_avg_conc","sars_cov2_units","stan_ref","test_result_date","wwtp_jurisdiction","wwtp_name","zipcode"
"20.8","Ceres Nanotrap","54061","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","9.7","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","48328","rna","-1","","","","WV","2021-12-17","12:00","A01-0128","wwtp","","raw wastewater","24-hr flow-weighted composite","149863.4443","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-28","WV","StarCityWWTP-01","26505"
"10","Ceres Nanotrap","54069","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","8.278","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","50000","rna","-1","","","","WV","2021-12-13","07:00","C01-0058","wwtp","","raw wastewater","24-hr flow-weighted composite","208484.6601","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-28","WV","WheelingWWTP-01","26003"
"10","Ceres Nanotrap","54069","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","7.648","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","50000","rna","-1","","","","WV","2021-12-15","07:00","C01-0060","wwtp","","raw wastewater","24-hr flow-weighted composite","251426.695","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-28","WV","WheelingWWTP-01","26003"
"20.8","Ceres Nanotrap","54061","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","8.0","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","48328","rna","-1","","","","WV","2021-12-18","12:00","A01-0129","wwtp","","raw wastewater","24-hr flow-weighted composite","367054.9911","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-28","WV","StarCityWWTP-01","26505"
"2.4","Ceres Nanotrap","54057","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","0.559","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","8168","rna","-1","","","","WV","2021-12-18","09:00","G01-0017","wwtp","","raw wastewater","24-hr time-weighted composite","95299.17508","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-28","WV","KeyserWWTP-01","26726"
"10","Ceres Nanotrap","54069","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","7.516","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","50000","rna","-1","","","","WV","2021-12-14","07:00","C01-0059","wwtp","","raw wastewater","24-hr flow-weighted composite","218471.3209","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-28","WV","WheelingWWTP-01","26003"
"2.4","Ceres Nanotrap","54057","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","0.627","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","8168","rna","-1","","","","WV","2021-12-19","09:00","G01-0007","wwtp","","raw wastewater","24-hr time-weighted composite","209653.9825","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-28","WV","KeyserWWTP-01","26726"
"2.4","Ceres Nanotrap","54057","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","0.673","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","8168","rna","-1","","","","WV","2021-12-13","09:00","G01-0006","wwtp","","raw wastewater","24-hr time-weighted composite","109123.1789","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-21","WV","KeyserWWTP-01","26726"
"10","Ceres Nanotrap","54069","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","6.976","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","50000","rna","-1","","","","WV","2021-12-19","07:00","C01-0062","wwtp","","raw wastewater","24-hr flow-weighted composite","211242.9938","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-28","WV","WheelingWWTP-01","26003"
"2.4","Ceres Nanotrap","54057","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","0.556","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","8168","rna","-1","","","","WV","2021-12-12","09:00","G01-0009","wwtp","","raw wastewater","24-hr time-weighted composite","46653.79487","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-21","WV","KeyserWWTP-01","26726"
"20.8","Ceres Nanotrap","54061","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","7.2","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","48328","rna","-1","","","","WV","2021-12-19","12:00","A01-0130","wwtp","","raw wastewater","24-hr flow-weighted composite","115630.1308","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-28","WV","StarCityWWTP-01","26505"
"2.4","Ceres Nanotrap","54057","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","0.549","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","8168","rna","-1","","","","WV","2021-12-20","09:00","G01-0012","wwtp","","raw wastewater","24-hr time-weighted composite","129015.5558","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-28","WV","KeyserWWTP-01","26726"
"10","Ceres Nanotrap","54069","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","6.929","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","50000","rna","-1","","","","WV","2021-12-16","07:00","C01-0061","wwtp","","raw wastewater","24-hr flow-weighted composite","285178.6047","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-28","WV","WheelingWWTP-01","26003"
